StartTime to EndTime
12:35:59 to 12:36:16
12:36:16 to 12:36:40
12:38:41 to 12:39:14
12:39:14 to 12:39:39
12:39:39 to 12:39:57
12:39:57 to 12:40:17
12:40:17 to 12:40:39
12:40:39 to 12:40:57
12:40:57 to 12:41:23
12:41:23 to 12:41:40
12:41:40 to 12:41:57
12:41:57 to 12:42:17
12:42:17 to 12:42:38
12:42:38 to 12:42:57
12:42:57 to 12:43:17
12:43:17 to 12:43:39
12:43:39 to 12:43:58
12:43:58 to 12:44:18
12:44:18 to 12:44:38
12:44:38 to 12:44:53
12:44:53 to 12:45:10
12:46:45 to 12:47:18
12:47:18 to 12:47:37
12:47:37 to 12:47:51
12:47:51 to 12:48:09
12:48:09 to 12:48:30
12:48:30 to 12:48:48
12:48:48 to 12:49:09
12:49:09 to 12:49:26
12:49:26 to 12:49:44
12:49:44 to 12:50:04
12:50:04 to 12:50:22
12:50:22 to 12:50:37
12:50:37 to 12:50:53
12:50:53 to 12:51:11
12:51:11 to 12:51:28
12:51:29 to 12:51:45
12:51:45 to 12:52:02
12:52:02 to 12:52:19
12:53:43 to 12:54:03
12:54:03 to 12:54:23
12:54:23 to 12:54:39
12:54:39 to 12:54:55
12:54:55 to 12:55:13
12:55:14 to 12:55:31
12:55:31 to 12:55:49
12:55:49 to 12:56:07
12:56:08 to 12:56:27
12:56:27 to 12:56:42
12:56:42 to 12:56:59
12:56:59 to 12:57:17
12:57:17 to 12:57:37
12:57:37 to 12:57:53
12:57:53 to 12:58:10
12:58:10 to 12:58:36
12:58:36 to 12:58:51
12:58:51 to 12:59:06
12:59:07 to 12:59:24
11:27:41 to 11:28:19
11:28:19 to 11:28:47
11:28:47 to 11:29:18
11:29:18 to 11:29:40
11:29:40 to 11:30:27
11:30:27 to 11:30:52
11:30:52 to 11:31:23
11:31:23 to 11:32:03
11:32:03 to 11:32:41
11:32:41 to 11:33:22
11:33:22 to 11:33:48
11:33:49 to 11:34:22
11:34:22 to 11:34:54
11:34:54 to 11:35:20
11:35:20 to 11:35:51
11:35:51 to 11:36:15
11:36:15 to 11:36:45
11:36:45 to 11:37:06
11:37:06 to 11:37:44
11:40:34 to 11:41:10
11:41:10 to 11:41:41
11:41:41 to 11:42:13
11:42:13 to 11:42:34
11:42:34 to 11:43:03
11:43:03 to 11:43:31
11:43:31 to 11:44:00
11:44:00 to 11:44:34
11:44:34 to 11:44:55
11:44:55 to 11:45:27
11:45:27 to 11:45:56
11:45:56 to 11:46:17
11:46:17 to 11:46:36
11:46:36 to 11:47:02
11:47:02 to 11:47:28
11:47:28 to 11:47:53
11:47:53 to 11:48:16
11:48:16 to 11:48:53
11:51:16 to 11:51:41
11:51:41 to 11:52:04
11:52:04 to 11:52:24
11:52:24 to 11:52:48
11:52:48 to 11:53:09
11:53:09 to 11:53:30
11:53:31 to 11:53:55
11:53:56 to 11:54:18
11:54:18 to 11:54:50
11:54:50 to 11:55:21
11:55:21 to 11:55:52
11:55:52 to 11:56:21
11:56:21 to 11:56:43
11:56:43 to 11:57:10
11:57:10 to 11:57:32
11:57:32 to 11:57:59
11:57:59 to 11:58:22
11:58:22 to 11:58:45
12:01:04 to 12:01:32
12:01:33 to 12:02:06
12:02:06 to 12:02:33
12:02:33 to 12:02:56
12:02:56 to 12:03:20
12:03:20 to 12:03:43
12:03:43 to 12:04:16
12:04:16 to 12:04:38
12:04:38 to 12:04:58
12:04:58 to 12:05:18
12:05:18 to 12:05:49
12:05:49 to 12:06:11
12:06:11 to 12:06:41
12:06:41 to 12:07:03
12:07:03 to 12:07:41
12:07:41 to 12:08:00
12:08:00 to 12:08:17
12:08:17 to 12:08:39
12:08:39 to 12:08:58
12:11:29 to 12:11:54
12:11:54 to 12:12:42
12:12:42 to 12:13:13
12:13:13 to 12:13:47
12:13:47 to 12:14:20
12:14:20 to 12:14:48
12:14:48 to 12:15:11
12:15:12 to 12:15:42
12:15:42 to 12:16:07
12:16:07 to 12:16:38
12:16:38 to 12:17:04
12:17:04 to 12:17:31
12:17:31 to 12:18:04
12:18:04 to 12:18:28
12:18:28 to 12:18:53
12:18:53 to 12:19:24
12:19:24 to 12:19:44
12:19:44 to 12:20:11
12:20:12 to 12:20:40
12:50:16 to 12:51:01
12:51:01 to 12:51:38
12:51:38 to 12:52:10
12:52:10 to 12:52:38
12:52:38 to 12:53:05
12:53:05 to 12:53:36
12:53:36 to 12:54:06
12:54:06 to 12:54:36
12:54:36 to 12:55:00
12:55:00 to 12:55:28
12:55:28 to 12:55:54
12:55:54 to 12:56:13
12:56:13 to 12:56:36
12:56:36 to 12:57:00
12:57:00 to 12:57:23
12:57:23 to 12:57:42
12:57:42 to 12:58:03
12:58:03 to 12:58:24
12:58:24 to 12:58:46
13:02:31 to 13:03:15
13:03:15 to 13:03:54
13:03:54 to 13:04:34
13:04:35 to 13:05:08
13:05:08 to 13:05:41
13:05:41 to 13:06:08
13:06:08 to 13:06:36
13:06:36 to 13:07:04
13:07:04 to 13:07:28
13:07:28 to 13:07:52
13:07:52 to 13:08:17
13:08:17 to 13:08:37
13:08:37 to 13:09:00
13:09:00 to 13:09:26
13:09:26 to 13:09:46
13:09:46 to 13:10:11
13:10:11 to 13:10:38
13:10:38 to 13:11:03
13:11:03 to 13:11:22
13:14:09 to 13:14:51
13:14:51 to 13:15:15
13:15:15 to 13:15:48
13:15:48 to 13:16:15
13:16:15 to 13:16:34
13:16:34 to 13:17:02
13:17:02 to 13:17:29
13:17:29 to 13:17:52
13:17:52 to 13:18:10
13:18:10 to 13:18:33
13:18:33 to 13:18:53
13:18:53 to 13:19:10
13:19:10 to 13:19:32
13:19:32 to 13:19:55
13:19:55 to 13:20:18
13:20:18 to 13:20:35
13:20:35 to 13:20:55
13:20:55 to 13:21:15
13:22:13 to 13:22:41
13:22:41 to 13:23:14
13:23:14 to 13:23:36
13:23:36 to 13:23:55
13:23:55 to 13:24:22
13:24:22 to 13:24:41
13:24:41 to 13:25:01
13:25:01 to 13:25:22
13:25:22 to 13:25:42
13:25:42 to 13:26:12
13:26:12 to 13:26:32
13:26:32 to 13:26:53
13:26:53 to 13:27:08
13:27:08 to 13:27:29
13:27:29 to 13:27:45
13:27:45 to 13:28:01
13:28:01 to 13:28:20
13:28:20 to 13:28:40
13:29:27 to 13:29:47
13:29:47 to 13:30:06
13:30:06 to 13:30:28
13:30:28 to 13:30:46
13:30:46 to 13:31:08
13:31:08 to 13:31:27
13:31:27 to 13:31:45
13:31:46 to 13:32:02
13:32:02 to 13:32:20
13:32:20 to 13:32:38
13:32:38 to 13:32:55
13:32:55 to 13:33:11
13:33:11 to 13:33:34
13:33:34 to 13:34:00
13:34:00 to 13:34:19
13:34:19 to 13:34:36
13:34:36 to 13:34:57
13:34:57 to 13:35:14
13:35:14 to 13:35:30
14:33:14 to 14:33:52
14:33:52 to 14:34:39
14:34:39 to 14:35:13
14:35:13 to 14:35:40
14:35:40 to 14:36:21
14:36:21 to 14:37:21
14:37:21 to 14:38:07
14:38:07 to 14:38:47
14:38:47 to 14:39:28
14:39:28 to 14:39:59
14:39:59 to 14:40:29
14:40:29 to 14:41:14
14:41:14 to 14:42:02
14:42:02 to 14:42:27
14:42:28 to 14:43:11
14:43:11 to 14:43:46
14:43:46 to 14:44:57
14:44:57 to 14:45:21
14:50:33 to 14:51:11
14:51:11 to 14:51:48
14:51:48 to 14:52:22
14:52:22 to 14:53:12
14:53:12 to 14:54:14
14:54:14 to 14:54:48
14:54:48 to 14:55:33
14:55:33 to 14:55:56
14:55:56 to 14:56:28
14:56:28 to 14:57:23
14:57:23 to 14:57:56
14:57:56 to 14:59:09
14:59:09 to 14:59:36
14:59:36 to 15:00:02
15:00:02 to 15:00:38
15:00:38 to 15:01:17
15:01:17 to 15:01:43
15:01:43 to 15:02:30
15:02:30 to 15:02:55
15:06:52 to 15:07:57
15:07:57 to 15:08:41
15:08:41 to 15:09:18
15:09:18 to 15:09:37
15:09:37 to 15:10:07
15:10:07 to 15:10:31
15:10:31 to 15:11:24
15:11:24 to 15:11:50
15:11:50 to 15:12:13
15:12:13 to 15:12:36
15:12:36 to 15:12:58
15:12:58 to 15:13:24
15:13:24 to 15:13:46
15:13:46 to 15:14:10
15:14:10 to 15:14:32
15:14:32 to 15:14:58
15:14:58 to 15:15:30
15:15:30 to 15:15:49
15:18:51 to 15:19:28
15:19:28 to 15:19:59
15:19:59 to 15:20:30
15:20:30 to 15:20:50
15:20:50 to 15:21:10
15:21:10 to 15:21:46
15:21:46 to 15:22:09
15:22:09 to 15:22:30
15:22:30 to 15:23:05
15:23:05 to 15:23:33
15:23:33 to 15:23:54
15:23:54 to 15:24:14
15:24:14 to 15:24:43
15:24:43 to 15:25:19
15:25:19 to 15:25:40
15:25:40 to 15:26:19
15:26:19 to 15:26:50
15:26:50 to 15:27:16
15:27:16 to 15:27:44
15:30:42 to 15:31:07
15:31:07 to 15:31:33
15:31:33 to 15:31:54
15:31:54 to 15:32:13
15:32:13 to 15:32:42
15:32:42 to 15:32:59
15:32:59 to 15:33:19
15:33:19 to 15:33:38
15:33:38 to 15:34:08
15:34:08 to 15:34:32
15:34:32 to 15:34:57
15:34:57 to 15:35:17
15:35:17 to 15:35:36
15:35:36 to 15:35:58
15:35:58 to 15:36:25
15:36:25 to 15:36:42
15:36:43 to 15:37:04
15:37:04 to 15:37:25
15:37:26 to 15:37:51
